Headword	German_IPA	German_Sound_Classes
weib	v ai b	W V P
korn	k ɔ r n	K V R N
heim	h ai m	H V M
trinken	t r ɪ ŋ k ə	T R V N K V
busen	b uː z ə n	P V S V N
sterz	ʃ t ɛ r ts	S T V R K
bock	b ɔ k	P V K
mark	m a r k	M V R K
taube	t au b ə	T V P V
durst	d ʊ r s t	T V R S T
sporn	ʃ p ɔ r	S P V R
meinen	m ai n ə	M V N V
name	n aː m	N V M
erde	eː r d ə	V R T V
hauen	h au ə	H V V
grund	ɡ r ʊ n d	K R V N T
suchen	z uː x ə	S V K V
herz	h ɛ r ts	H V R K
vieh	v iː	W V
leim	l ai m	R V M
nadel	n aː d ə l	N V T V R
mahr	m aː r	M V R
graben	ɡ r aː b ə	K R V P V
sache	z a x	S V K
fechten	f ɛ x t ə	P V K T V
reiten	r ai t ə	R V T V
sieben	z iː b ə n	S V P V N
spindel	ʃ p ɪ n d ə l	S P V N T V R
rabe	r aː b ə	R V P V
heilen	h ai l ə	H V R V
kalb	k a l b	K V R P
witwe	v ɪ t v ə	W V T W V
gang	ɡ a ŋ	K V N
fahren	f aː r ə	P V R V
schwert	ʃ v eː r t	S W V R T
leber	l eː b ə r	R V P V R
wille	v ɪ l	W V R
berg	b ɛ r k	P V R K
drei	d r ai	T R V
wort	v ɔ r t	W V R T
mal	m aː l	M V R
greifen	ɡ r ai f ə	K R V P V
fallen	f a l ə	P V R V
haupt	h au p t	H V P T
leid	l ai d	R V T
beere	b eː r	P V R
glauben	l au b ə	R V P V
winter	v ɪ n t ə r	W V N T V R
braut	b r au t	P R V T
spinnen	ʃ p ɪ n ə	S P V N V
schild	ʃ ɪ l d/t	S V R T
ball	b a l	P V R
nest	n ɛ s t	N V S T
sterben	ʃ t ɛ r b ə	S T V R P V
neun	n ɔy n	N V N
zapfen	ts a pf	K V P
salbe	z a l b	S V R P
hund	h ʊ n d	H V N T
fuchs	f ʊ k s	P V K S
denken	d ɛ ŋ k	T V N K
dank	d a ŋ k	T V N K
streuen	ʃ t r ɔy ə	S T R V V
vier	f iː r	P V R
speer	ʃ p eː r	S P V R
lauge	l au ɡ	R V K
honig	h oː n ɪ	H V N V
bohren	b oː r ə	P V R V
hecke	h ɛ k	H V K
geburt	b uː r t	P V R T
hand	h a n d	H V N T
traum	t r au m	T R V M
laden	l aː d ə	R V T V
tier	t iː r	T V R
wal	v aː l	W V R
span	ʃ p aː n	S P V N
tausend	t au z ə n d	T V S V N T
nabel	n aː b ə l	N V P V R
hammer	h a m ə r	H V M V R
falten	f a l t ə	P V R T V
stelze	ʃ t ɛ l ts	S T V R K
frost	f r ɔ s t	P R V S T
stehlen	ʃ t eː l ə	S T V R V
farn	f a r n	P V R N
netz	n ɛ ts	N V K
bahre	b aː r	P V R
hilfe	h ɪ l f	H V R P
not	n oː t	N V T
hinde	h ɪ n d ə	H V N T V
hasel	h aː z ə l	H V S V R
strang	ʃ t r a ŋ	S T R V N
raum	r au m	R V M
brechen	b r ɛ x ə	P R V K V
bruch	b r ʊ x	P R V K
otter	ɔ t ə r	V T V R
saum	z au m	S V M
bann	b a n	P V N
leuchten	l ɔy x t ə	R V K T V
handeln	h a n d ə l	H V N T V R
knopf	k n ɔ pf	K N V P
bieten	b iː t ə	P V T V
donner	d ɔ n ə r	T V N V R
klimmen	k l ɪ m ə	K R V M V
garn	ɡ a r n	K V R N
tat	t aː t	T V T
binden	b ɪ n d ə	P V N T V
schulter	ʃ ʊ l t ə r	S V R T V R
ein	ai n	V N
leben	l eː b ə	R V P V
gift	ɡ ɪ f t	K V P T
horn	h ɔ r n	H V R N
nabe	n aː b	N V P
helm	h ɛ l m	H V R M
wagen	v aː ɡ ə n	W V K V N
beide	b ai	P V
dieb	d iː b	T V P
waten	v aː t ə	W V T V
wetter	v ɛ t ə r	W V T V R
laub	l au b	R V P
milch	m ɪ l x	M V R K
sturm	ʃ t ʊ r m	S T V R M
waffe	v a f ə	W V P V
ochse	ɔ k s	V K S
wachsen	v a k s ə	W V K S V
feld	f ɛ l d	P V R T
wald	v a l d	W V R T
rauch	r au x	R V K
ding	d ɪ ŋ	T V N
mut	m uː t	M V T
schaufel	ʃ au f ə l	S V P V R
strecken	ʃ t r ɛ k ə	S T R V K V
rost	r ɔ s t	R V S T
trank	t r a ŋ k	T R V N K
galle	ɡ a l	K V R
geben	ɡ eː b ə	K V P V
hag	h aː k	H V K
monat	m oː n t	M V N T
teig	t ai k	T V K
knecht	k n ɛ x t	K N V K T
aal	aː l	V R
volk	f ɔ l k	P V R K
tag	t aː k	T V K
lauch	l au x	R V K
gras	ɡ r aː s	K R V S
brand	b r a n d	P R V N T
heu	h ɔy	H V
boden	b oː d ə n	P V T V N
joch	j ɔ x	J V K
sparen	ʃ p aː r ə	S P V R V
leib	l ai b	R V P
wachs	v a k s	W V K S
blut	b l uː t	P R V T
zehn	ts eː n	K V N
jugend	j uː ɡ d	J V K T
regenbogen	r eː ɡ ə	R V K V
kropf	k r ɔ pf	K R V P
futter	f ʊ t ə r	P V T V R
lunge	l ʊ ŋ	R V N
dill	d/t ɪ l	T V R
winden	v ɪ n d ə	W V N T V
lehm	l eː m	R V M
knie	k n iː	K N V
vater	f aː t ə r	P V T V R
lassen	l a s ə	R V S V
frieren	f r iː r ə	P R V R V
biegen	b iː ɡ ə	P V K V
buch	b uː x	P V K
segel	z eː l	S V R
leine	l ai n	R V N
dach	d a x	T V K
furche	f ʊ r	P V R
zeit	ts ai t	K V T
floh	f l oː	P R V
saft	z a f	S V P
zecke	ts ɛ k	K V K
schwimmen	ʃ v ɪ m ə	S W V M V
malz	m a l ts	M V R K
kauen	k au ə	K V V
ringen	r ɪ ŋ ə	R V N V
waschen	v a ʃ ə	W V S V
hagel	h aː ɡ ə l	H V K V R
ofen	oː f ə n	V P V N
jahr	j aː r	J V R
fleisch	f l ai ʃ	P R V S
bauer	b au ə r	P V V R
bein	b ai n	P V N
wachen	v a x ə	W V K V
wunder	v ʊ n d ə r	W V N T V R
schwester	ʃ ɛ s t ə r	S V S T V R
schnee	ʃ n eː	S N V
lachen	l a x ə	R V K V
regen	r eː ɡ ə n	R V K V N
himmel	h ɪ m ə	H V M V
schwein	ʃ v ai n	S W V N
teil	t ai l	T V R
gold	ɡ ɔ l d	K V R T
kuh	k uː	K V
sorge	z ɔ r ɡ	S V R K
fliegen	f l iː ɡ ə	P R V K V
scheide	ʃ ai d ə	S V T V
widder	v ɪ d ə r	W V T V R
wurm	v ʊ r m	W V R M
wasser	v a s ə r	W V S V R
brauchen	b r au x ə	P R V K V
schlagen	ʃ l aː n	S R V N
locke	l ɔ k	R V K
beginnen	ɡ ɪ n ə	K V N V
brot	b r oː t	P R V T
sechs	z ɛ k s	S V K S
nacken	n a k	N V K
warze	v a r ts	W V R K
bart	b aː r t	P V R T
tal	t aː l	T V R
sitzen	z ɪ ts ə	S V K V
zange	ts a ŋ	K V N
salz	z a l ts	S V R K
fliehen	f l iː ə	P R V V
sparren	ʃ p a r	S P V R
hure	h uː r	H V R
treiben	t r ai b ə	T R V P V
kitt	k ɪ t	K V T
halten	h a l t ə	H V R T V
stroh	ʃ t r oː	S T R V
fisch	f ɪ ʃ	P V S
weide	v ai d	W V T
wespe	v ɛ s p	W V S P
schwalbe	ʃ v a l	S W V R
schauen	ʃ au ə	S V V
gans	ɡ a n s	K V N S
beugen	b ɔy ɡ ə	P V K V
bord	b ɔ r d/t	P V R T
reif	r ai f	R V P
bad	b aː d	P V T
fasten	f a s t ə	P V S T V
westen	v ɛ s t ə	W V S T V
seele	z eː l	S V R
lust	l ʊ s t	R V S T
essen	ɛ s ə	V S V
haben	h aː b ə	H V P V
haar	h aː r	H V R
dreschen	d r ɛ ʃ ə	T R V S V
land	l a n d	R V N T
spannen	ʃ p a n ə	S P V N V
strom	ʃ t r oː m	S T R V M
saufen	z au f ə	S V P V
schaf	ʃ aː f	S V P
senden	z ɛ n d ə	S V N T V
ruck	r ʊ k	R V K
zaum	ts au m	K V M
verlieren	l iː r ə	R V R V
stillen	ʃ t ɪ l ə	S T V R V
scheinen	ʃ ai n ə	S V N V
stab	ʃ t aː b	S T V P
flut	f l uː t	P R V T
stein	ʃ t ai n	S T V N
bogen	b oː ɡ	P V K
scheren	ʃ eː r ə	S V R V
backen	b a k ə	P V K V
leiste	l ai s t	R V S T
schieben	ʃ iː b ə	S V P V
helfen	h ɛ l f ə	H V R P V
bitten	b ɪ t ə	P V T V
machen	m a x ə	M V K V
roggen	r ɔ ɡ ə	R V K V
wolle	v ɔ l	W V R
see	z eː	S V
wiesel	v iː z ə l	W V S V R
spreiten	ʃ p r ai t ə	S P R V T V
kraft	k r a f t	K R V P T
herd	h eː r d	H V R T
tau	t au	T V
wolf	v ɔ l f	W V R P
herbst	h ɛ r p s t	H V R P S T
nacht	n a x t	N V K T
lappen	l a p	R V P
welt	v ɛ l t	W V R T
werfen	v ɛ r f ə	W V R P V
singen	z ɪ ŋ ə	S V N V
macht	m a x t	M V K T
nagel	n aː ɡ ə l	N V K V R
tun	t uː n	T V N
feuer	f ɔy ə r	P V V R
zeichen	ts ai x ə n	K V K V N
lecken	l ɛ k ə	R V K V
sengen	z ɛ ŋ ə	S V N V
gast	ɡ a s t	K V S T
mutter	m ʊ t ə r	M V T V R
stamm	ʃ t a m	S T V M
bast	b a s t	P V S T
lid	l iː d	R V T
raten	r aː t ə n	R V T V N
bringen	b r ɪ ŋ ə	P R V N V
sondern	z ɔ n d ə r	S V N T V R
dorn	d ɔ r n	T V R N
wollen	v ɔ l ə	W V R V
schlafen	ʃ l aː f ə	S R V P V
ruder	r uː d ə r	R V T V R
zunge	ts ʊ ŋ	K V N
kamm	k a m	K V M
treten	t r eː t ə	T R V T V
balg	b a l k	P V R K
freund	f r ɔy n d	P R V N T
finger	f ɪ ŋ ə r	P V N V R
mast	m a s t	M V S T
distel	d ɪ s t ə l	T V S T V R
zehe	ts eː	K V
linde	l ɪ n d	R V N T
nase	n aː z	N V S
reh	r eː	R V
zaun	ts au n	K V N
leiten	l ai t ə	R V T V
sieb	z iː b	S V P
bersten	b ɛ r s t ə	P V R S T V
sonne	z ɔ n	S V N
finden	f ɪ n d ə	P V N T V
werft	v ɛ r f	W V R P
brust	b r ʊ s t	P R V S T
halle	h a l	H V R
weile	v ai l	W V R
habicht	h aː b ɪ x	H V P V K
fell	f ɛ l	P V R
flachs	f l a k s	P R V K S
schmieren	ʃ m iː r ə	S M V R V
setzen	z ɛ ts ə	S V K V
laus	l au s	R V S
faust	f au s t	P V S T
vogel	f oː ɡ ə l	P V K V R
kneten	k n eː t ə	K N V T V
biber	b iː b ə r	P V P V R
schaft	ʃ a f t	S V P T
sommer	z ɔ m ə r	S V M V R
gott	ɡ ɔ t	K V T
weg	v eː k	W V K
folgen	f ɔ l ɡ ə	P V R K V
huf	h uː f	H V P
stuhl	ʃ t uː l	S T V R
stock	ʃ t ɔ k	S T V K
schleim	ʃ l ai m	S R V M
mann	m a n	M V N
weben	v eː b ə	W V P V
